X,Y,File,Folder,Point_Index
329.17,291.426,m-001-03.pts,m-001,0
436.553,289.928,m-001-03.pts,m-001,1
331.667,419.288,m-001-03.pts,m-001,2
433.057,416.79,m-001-03.pts,m-001,3
273.73,289.928,m-001-03.pts,m-001,4
363.133,276.942,m-001-03.pts,m-001,5
393.1,275.943,m-001-03.pts,m-001,6
495.489,282.436,m-001-03.pts,m-001,7
263.74,291.926,m-001-03.pts,m-001,8
302.199,294.423,m-001-03.pts,m-001,9
354.143,293.424,m-001-03.pts,m-001,10
411.081,294.922,m-001-03.pts,m-001,11
466.521,293.424,m-001-03.pts,m-001,12
510.973,293.424,m-001-03.pts,m-001,13
373.621,361.35,m-001-03.pts,m-001,14
359.137,371.839,m-001-03.pts,m-001,15
393.6,372.339,m-001-03.pts,m-001,16
376.119,414.293,m-001-03.pts,m-001,17
378.616,440.265,m-001-03.pts,m-001,18
380.614,505.195,m-001-03.pts,m-001,19
279.723,418.289,m-001-03.pts,m-001,20
501.982,416.291,m-001-03.pts,m-001,21
345.098,260.392,m-001-05.pts,m-001,0
451.765,264.157,m-001-05.pts,m-001,1
345.098,384.627,m-001-05.pts,m-001,2
434.196,387.137,m-001-05.pts,m-001,3
291.137,259.137,m-001-05.pts,m-001,4
381.49,235.294,m-001-05.pts,m-001,5
407.843,236.549,m-001-05.pts,m-001,6
506.98,256.627,m-001-05.pts,m-001,7
282.353,262.902,m-001-05.pts,m-001,8
322.51,264.157,m-001-05.pts,m-001,9
366.431,262.902,m-001-05.pts,m-001,10
429.176,265.412,m-001-05.pts,m-001,11
470.588,266.667,m-001-05.pts,m-001,12
522.039,264.157,m-001-05.pts,m-001,13
389.02,318.118,m-001-05.pts,m-001,14
372.706,326.902,m-001-05.pts,m-001,15
409.098,326.902,m-001-05.pts,m-001,16
387.765,367.059,m-001-05.pts,m-001,17
387.765,393.412,m-001-05.pts,m-001,18
387.765,468.706,m-001-05.pts,m-001,19
286.118,383.373,m-001-05.pts,m-001,20
509.49,389.647,m-001-05.pts,m-001,21
327.193,263.025,m-002-01.pts,m-002,0
437.671,258.127,m-002-01.pts,m-002,1
342.887,379.987,m-002-01.pts,m-002,2
432.444,376.537,m-002-01.pts,m-002,3
280.652,244.57,m-002-01.pts,m-002,4
363.48,239.725,m-002-01.pts,m-002,5
399.088,237.87,m-002-01.pts,m-002,6
485.183,233.669,m-002-01.pts,m-002,7
269.558,263.238,m-002-01.pts,m-002,8
302.703,266.29,m-002-01.pts,m-002,9
350.413,262.822,m-002-01.pts,m-002,10
415.235,261.415,m-002-01.pts,m-002,11
463.25,259.759,m-002-01.pts,m-002,12
499.719,257.029,m-002-01.pts,m-002,13
385.969,318.536,m-002-01.pts,m-002,14
370.187,327.788,m-002-01.pts,m-002,15
399.575,327.788,m-002-01.pts,m-002,16
386.155,367.268,m-002-01.pts,m-002,17
386.155,394.529,m-002-01.pts,m-002,18
388.628,472.462,m-002-01.pts,m-002,19
282.728,382.655,m-002-01.pts,m-002,20
499.719,377.464,m-002-01.pts,m-002,21
367.138,251.974,m-002-02.pts,m-002,0
479.587,255.641,m-002-02.pts,m-002,1
363.471,356.478,m-002-02.pts,m-002,2
476.531,358.923,m-002-02.pts,m-002,3
320.691,231.806,m-002-02.pts,m-002,4
404.417,218.361,m-002-02.pts,m-002,5
444.752,222.028,m-002-02.pts,m-002,6
527.867,234.251,m-002-02.pts,m-002,7
311.524,250.14,m-002-02.pts,m-002,8
342.692,253.807,m-002-02.pts,m-002,9
394.028,251.363,m-002-02.pts,m-002,10
454.53,253.807,m-002-02.pts,m-002,11
508.31,256.863,m-002-02.pts,m-002,12
542.235,250.953,m-002-02.pts,m-002,13
419.695,309.421,m-002-02.pts,m-002,14
403.806,319.199,m-002-02.pts,m-002,15
435.472,319.063,m-002-02.pts,m-002,16
420.918,354.034,m-002-02.pts,m-002,17
420.918,388.257,m-002-02.pts,m-002,18
424.584,475.65,m-002-02.pts,m-002,19
309.691,356.478,m-002-02.pts,m-002,20
542.534,359.534,m-002-02.pts,m-002,21
297.638,294.309,m-002-03.pts,m-002,0
407.577,271.745,m-002-03.pts,m-002,1
329.804,405.208,m-002-03.pts,m-002,2
414.778,391.285,m-002-03.pts,m-002,3
249.63,282.787,m-002-03.pts,m-002,4
323.083,266.944,m-002-03.pts,m-002,5
366.77,257.342,m-002-03.pts,m-002,6
451.745,243.9,m-002-03.pts,m-002,7
245.79,305.831,m-002-03.pts,m-002,8
273.154,300.07,m-002-03.pts,m-002,9
320.682,289.988,m-002-03.pts,m-002,10
382.613,278.466,m-002-03.pts,m-002,11
435.902,267.424,m-002-03.pts,m-002,12
473.348,257.823,m-002-03.pts,m-002,13
358.129,345.197,m-002-03.pts,m-002,14
346.607,356.719,m-002-03.pts,m-002,15
375.412,352.399,m-002-03.pts,m-002,16
366.29,389.845,m-002-03.pts,m-002,17
370.131,412.409,m-002-03.pts,m-002,18
383.093,480.58,m-002-03.pts,m-002,19
271.714,414.329,m-002-03.pts,m-002,20
485.83,381.684,m-002-03.pts,m-002,21
342.987,266.127,m-002-05.pts,m-002,0
456.0,270.684,m-002-05.pts,m-002,1
353.013,381.873,m-002-05.pts,m-002,2
435.949,384.608,m-002-05.pts,m-002,3
296.506,249.722,m-002-05.pts,m-002,4
378.532,241.519,m-002-05.pts,m-002,5
418.633,244.253,m-002-05.pts,m-002,6
499.747,259.747,m-002-05.pts,m-002,7
281.013,264.304,m-002-05.pts,m-002,8
322.025,267.038,m-002-05.pts,m-002,9
363.949,269.772,m-002-05.pts,m-002,10
434.127,273.418,m-002-05.pts,m-002,11
473.316,274.329,m-002-05.pts,m-002,12
511.595,271.595,m-002-05.pts,m-002,13
396.759,327.19,m-002-05.pts,m-002,14
384.0,334.481,m-002-05.pts,m-002,15
414.076,334.481,m-002-05.pts,m-002,16
396.759,368.203,m-002-05.pts,m-002,17
396.759,394.633,m-002-05.pts,m-002,18
396.759,463.899,m-002-05.pts,m-002,19
285.57,382.785,m-002-05.pts,m-002,20
503.392,388.253,m-002-05.pts,m-002,21
324.151,259.223,m-003-01.pts,m-003,0
435.74,256.488,m-003-01.pts,m-003,1
330.168,381.751,m-003-01.pts,m-003,2
435.193,383.392,m-003-01.pts,m-003,3
273.633,242.815,m-003-01.pts,m-003,4
356.614,233.625,m-003-01.pts,m-003,5
400.072,232.33,m-003-01.pts,m-003,6
481.401,235.65,m-003-01.pts,m-003,7
257.343,265.214,m-003-01.pts,m-003,8
297.988,263.399,m-003-01.pts,m-003,9
350.954,261.411,m-003-01.pts,m-003,10
409.484,260.317,m-003-01.pts,m-003,11
466.372,259.223,m-003-01.pts,m-003,12
495.363,260.864,m-003-01.pts,m-003,13
379.515,320.849,m-003-01.pts,m-003,14
363.684,333.813,m-003-01.pts,m-003,15
395.776,332.921,m-003-01.pts,m-003,16
379.936,371.223,m-003-01.pts,m-003,17
380.627,401.242,m-003-01.pts,m-003,18
380.993,468.179,m-003-01.pts,m-003,19
271.639,385.033,m-003-01.pts,m-003,20
488.799,383.939,m-003-01.pts,m-003,21
319.821,259.14,m-003-02.pts,m-003,0
433.771,255.837,m-003-02.pts,m-003,1
320.372,370.338,m-003-02.pts,m-003,2
439.276,368.136,m-003-02.pts,m-003,3
269.176,256.938,m-003-02.pts,m-003,4
357.254,235.469,m-003-02.pts,m-003,5
394.137,242.625,m-003-02.pts,m-003,6
467.351,217.303,m-003-02.pts,m-003,7
252.111,268.498,m-003-02.pts,m-003,8
292.847,265.746,m-003-02.pts,m-003,9
344.042,261.342,m-003-02.pts,m-003,10
404.596,259.69,m-003-02.pts,m-003,11
462.947,259.69,m-003-02.pts,m-003,12
492.673,247.029,m-003-02.pts,m-003,13
378.723,320.244,m-003-02.pts,m-003,14
361.658,332.354,m-003-02.pts,m-003,15
399.091,330.152,m-003-02.pts,m-003,16
379.273,368.686,m-003-02.pts,m-003,17
379.824,396.761,m-003-02.pts,m-003,18
381.475,472.728,m-003-02.pts,m-003,19
264.222,374.742,m-003-02.pts,m-003,20
493.774,362.081,m-003-02.pts,m-003,21
321.737,276.004,m-003-03.pts,m-003,0
435.829,271.25,m-003-03.pts,m-003,1
326.966,396.751,m-003-03.pts,m-003,2
430.599,401.98,m-003-03.pts,m-003,3
274.199,270.299,m-003-03.pts,m-003,4
357.866,259.365,m-003-03.pts,m-003,5
398.749,257.464,m-003-03.pts,m-003,6
477.662,256.038,m-003-03.pts,m-003,7
255.184,285.036,m-003-03.pts,m-003,8
292.739,285.511,m-003-03.pts,m-003,9
350.26,277.905,m-003-03.pts,m-003,10
410.633,275.528,m-003-03.pts,m-003,11
464.827,274.102,m-003-03.pts,m-003,12
495.251,274.102,m-003-03.pts,m-003,13
375.93,342.557,m-003-03.pts,m-003,14
359.292,348.737,m-003-03.pts,m-003,15
393.52,351.114,m-003-03.pts,m-003,16
378.783,391.997,m-003-03.pts,m-003,17
379.734,414.34,m-003-03.pts,m-003,18
379.734,478.992,m-003-03.pts,m-003,19
271.346,392.948,m-003-03.pts,m-003,20
485.268,402.455,m-003-03.pts,m-003,21
322.937,268.861,m-003-05.pts,m-003,0
437.772,265.215,m-003-05.pts,m-003,1
343.899,383.696,m-003-05.pts,m-003,2
437.772,388.253,m-003-05.pts,m-003,3
288.304,253.367,m-003-05.pts,m-003,4
376.709,242.43,m-003-05.pts,m-003,5
416.81,240.608,m-003-05.pts,m-003,6
491.544,245.165,m-003-05.pts,m-003,7
265.519,270.684,m-003-05.pts,m-003,8
312.0,271.595,m-003-05.pts,m-003,9
353.013,265.215,m-003-05.pts,m-003,10
425.924,266.127,m-003-05.pts,m-003,11
467.848,266.127,m-003-05.pts,m-003,12
502.481,263.392,m-003-05.pts,m-003,13
387.646,326.278,m-003-05.pts,m-003,14
373.975,335.392,m-003-05.pts,m-003,15
411.342,337.215,m-003-05.pts,m-003,16
393.114,378.228,m-003-05.pts,m-003,17
395.848,397.367,m-003-05.pts,m-003,18
395.848,463.899,m-003-05.pts,m-003,19
276.456,382.785,m-003-05.pts,m-003,20
493.367,388.253,m-003-05.pts,m-003,21
297.286,264.651,m-004-01.pts,m-004,0
430.997,259.108,m-004-01.pts,m-004,1
313.412,408.644,m-004-01.pts,m-004,2
426.677,405.45,m-004-01.pts,m-004,3
241.498,241.8,m-004-01.pts,m-004,4
337.746,226.182,m-004-01.pts,m-004,5
383.936,226.105,m-004-01.pts,m-004,6
489.868,231.278,m-004-01.pts,m-004,7
224.542,270.193,m-004-01.pts,m-004,8
266.11,268.807,m-004-01.pts,m-004,9
331.233,265.343,m-004-01.pts,m-004,10
397.743,262.572,m-004-01.pts,m-004,11
465.637,258.415,m-004-01.pts,m-004,12
511.362,255.644,m-004-01.pts,m-004,13
366.566,333.238,m-004-01.pts,m-004,14
348.553,346.401,m-004-01.pts,m-004,15
382.501,345.016,m-004-01.pts,m-004,16
368.08,399.771,m-004-01.pts,m-004,17
368.652,416.086,m-004-01.pts,m-004,18
368.645,512.674,m-004-01.pts,m-004,19
244.243,408.38,m-004-01.pts,m-004,20
502.581,403.026,m-004-01.pts,m-004,21
318.17,284.158,m-004-02.pts,m-004,0
454.802,281.543,m-004-02.pts,m-004,1
316.209,416.214,m-004-02.pts,m-004,2
462.647,405.1,m-004-02.pts,m-004,3
260.64,256.7,m-004-02.pts,m-004,4
356.087,255.393,m-004-02.pts,m-004,5
420.154,258.008,m-004-02.pts,m-004,6
518.869,258.662,m-004-02.pts,m-004,7
239.721,293.964,m-004-02.pts,m-004,8
282.868,289.388,m-004-02.pts,m-004,9
354.779,287.426,m-004-02.pts,m-004,10
414.27,285.465,m-004-02.pts,m-004,11
487.489,284.811,m-004-02.pts,m-004,12
532.598,258.662,m-004-02.pts,m-004,13
386.813,366.529,m-004-02.pts,m-004,14
363.932,373.067,m-004-02.pts,m-004,15
407.733,373.067,m-004-02.pts,m-004,16
388.12,403.793,m-004-02.pts,m-004,17
388.774,460.668,m-004-02.pts,m-004,18
394.004,531.926,m-004-02.pts,m-004,19
256.064,418.829,m-004-02.pts,m-004,20
532.598,395.948,m-004-02.pts,m-004,21
318.903,305.722,m-004-03.pts,m-004,0
456.828,305.142,m-004-03.pts,m-004,1
331.652,452.919,m-004-03.pts,m-004,2
443.499,454.078,m-004-03.pts,m-004,3
259.792,281.382,m-004-03.pts,m-004,4
360.628,284.859,m-004-03.pts,m-004,5
408.148,286.018,m-004-03.pts,m-004,6
520.575,282.541,m-004-03.pts,m-004,7
241.248,306.881,m-004-03.pts,m-004,8
286.45,308.619,m-004-03.pts,m-004,9
354.253,309.199,m-004-03.pts,m-004,10
420.898,308.619,m-004-03.pts,m-004,11
487.542,305.722,m-004-03.pts,m-004,12
539.699,308.04,m-004-03.pts,m-004,13
380.911,392.07,m-004-03.pts,m-004,14
363.526,405.399,m-004-03.pts,m-004,15
401.194,404.24,m-004-03.pts,m-004,16
384.968,448.862,m-004-03.pts,m-004,17
386.127,479.577,m-004-03.pts,m-004,18
388.445,551.437,m-004-03.pts,m-004,19
267.326,454.658,m-004-03.pts,m-004,20
515.938,455.817,m-004-03.pts,m-004,21
318.38,277.063,m-004-05.pts,m-004,0
450.532,268.861,m-004-05.pts,m-004,1
333.873,418.329,m-004-05.pts,m-004,2
443.241,414.684,m-004-05.pts,m-004,3
259.139,266.127,m-004-05.pts,m-004,4
359.392,244.253,m-004-05.pts,m-004,5
414.076,240.608,m-004-05.pts,m-004,6
511.595,254.278,m-004-05.pts,m-004,7
245.468,278.886,m-004-05.pts,m-004,8
291.038,282.532,m-004-05.pts,m-004,9
349.367,280.709,m-004-05.pts,m-004,10
421.367,274.329,m-004-05.pts,m-004,11
474.228,273.418,m-004-05.pts,m-004,12
528.911,267.949,m-004-05.pts,m-004,13
384.0,350.886,m-004-05.pts,m-004,14
366.684,359.089,m-004-05.pts,m-004,15
404.051,357.266,m-004-05.pts,m-004,16
388.557,406.481,m-004-05.pts,m-004,17
388.557,434.734,m-004-05.pts,m-004,18
388.557,524.962,m-004-05.pts,m-004,19
270.076,420.152,m-004-05.pts,m-004,20
517.063,413.772,m-004-05.pts,m-004,21
327.902,261.809,m-005-01.pts,m-005,0
453.724,265.156,m-005-01.pts,m-005,1
327.467,393.92,m-005-01.pts,m-005,2
440.731,390.726,m-005-01.pts,m-005,3
280.507,241.762,m-005-01.pts,m-005,4
366.826,244.418,m-005-01.pts,m-005,5
409.985,243.09,m-005-01.pts,m-005,6
497.631,234.458,m-005-01.pts,m-005,7
248.258,263.148,m-005-01.pts,m-005,8
291.761,264.487,m-005-01.pts,m-005,9
356.011,264.487,m-005-01.pts,m-005,10
426.954,265.825,m-005-01.pts,m-005,11
483.842,267.164,m-005-01.pts,m-005,12
509.943,265.156,m-005-01.pts,m-005,13
390.813,326.729,m-005-01.pts,m-005,14
373.412,342.791,m-005-01.pts,m-005,15
404.868,342.791,m-005-01.pts,m-005,16
382.809,386.539,m-005-01.pts,m-005,17
382.266,397.391,m-005-01.pts,m-005,18
382.699,497.95,m-005-01.pts,m-005,19
250.266,397.671,m-005-01.pts,m-005,20
509.583,391.823,m-005-01.pts,m-005,21
339.68,275.607,m-005-02.pts,m-005,0
465.116,278.538,m-005-02.pts,m-005,1
331.474,398.699,m-005-02.pts,m-005,2
461.599,398.112,m-005-02.pts,m-005,3
287.513,252.747,m-005-02.pts,m-005,4
371.332,260.954,m-005-02.pts,m-005,5
425.844,266.229,m-005-02.pts,m-005,6
513.18,253.92,m-005-02.pts,m-005,7
257.033,282.055,m-005-02.pts,m-005,8
307.442,279.71,m-005-02.pts,m-005,9
368.988,279.71,m-005-02.pts,m-005,10
435.809,278.538,m-005-02.pts,m-005,11
494.423,283.227,m-005-02.pts,m-005,12
529.006,277.952,m-005-02.pts,m-005,13
398.295,354.151,m-005-02.pts,m-005,14
381.297,362.943,m-005-02.pts,m-005,15
418.224,362.357,m-005-02.pts,m-005,16
395.46,393.069,m-005-02.pts,m-005,17
395.364,438.557,m-005-02.pts,m-005,18
395.95,513.584,m-005-02.pts,m-005,19
261.136,399.285,m-005-02.pts,m-005,20
526.075,394.009,m-005-02.pts,m-005,21
331.267,279.792,m-005-03.pts,m-005,0
456.388,284.604,m-005-03.pts,m-005,1
325.92,412.399,m-005-03.pts,m-005,2
434.999,419.35,m-005-03.pts,m-005,3
277.261,259.473,m-005-03.pts,m-005,4
369.765,268.028,m-005-03.pts,m-005,5
416.819,268.028,m-005-03.pts,m-005,6
506.65,269.098,m-005-03.pts,m-005,7
253.734,278.722,m-005-03.pts,m-005,8
299.184,279.792,m-005-03.pts,m-005,9
358.002,285.139,m-005-03.pts,m-005,10
428.583,286.743,m-005-03.pts,m-005,11
484.727,288.882,m-005-03.pts,m-005,12
516.809,286.743,m-005-03.pts,m-005,13
387.411,353.046,m-005-03.pts,m-005,14
371.37,367.483,m-005-03.pts,m-005,15
403.452,370.157,m-005-03.pts,m-005,16
383.133,411.864,m-005-03.pts,m-005,17
381.529,433.787,m-005-03.pts,m-005,18
375.112,505.437,m-005-03.pts,m-005,19
252.13,405.447,m-005-03.pts,m-005,20
499.164,425.766,m-005-03.pts,m-005,21
329.316,255.19,m-005-05.pts,m-005,0
456.0,260.658,m-005-05.pts,m-005,1
327.494,384.608,m-005-05.pts,m-005,2
430.481,389.165,m-005-05.pts,m-005,3
285.57,237.873,m-005-05.pts,m-005,4
374.886,233.316,m-005-05.pts,m-005,5
420.456,235.139,m-005-05.pts,m-005,6
503.392,247.899,m-005-05.pts,m-005,7
266.43,255.19,m-005-05.pts,m-005,8
302.886,258.835,m-005-05.pts,m-005,9
350.278,257.924,m-005-05.pts,m-005,10
432.304,261.57,m-005-05.pts,m-005,11
478.785,265.215,m-005-05.pts,m-005,12
515.241,261.57,m-005-05.pts,m-005,13
388.557,318.987,m-005-05.pts,m-005,14
372.152,326.278,m-005-05.pts,m-005,15
402.228,329.013,m-005-05.pts,m-005,16
384.911,372.759,m-005-05.pts,m-005,17
384.0,396.456,m-005-05.pts,m-005,18
384.0,476.658,m-005-05.pts,m-005,19
251.848,380.962,m-005-05.pts,m-005,20
508.861,391.899,m-005-05.pts,m-005,21
338.274,255.705,m-006-01.pts,m-006,0
447.832,255.041,m-006-01.pts,m-006,1
343.769,373.008,m-006-01.pts,m-006,2
445.902,374.791,m-006-01.pts,m-006,3
287.426,239.895,m-006-01.pts,m-006,4
375.457,233.794,m-006-01.pts,m-006,5
409.321,229.146,m-006-01.pts,m-006,6
495.639,237.114,m-006-01.pts,m-006,7
273.203,257.033,m-006-01.pts,m-006,8
312.84,256.293,m-006-01.pts,m-006,9
363.506,258.361,m-006-01.pts,m-006,10
426.207,257.278,m-006-01.pts,m-006,11
479.04,255.041,m-006-01.pts,m-006,12
509.583,253.713,m-006-01.pts,m-006,13
392.057,320.776,m-006-01.pts,m-006,14
378.777,330.736,m-006-01.pts,m-006,15
407.329,330.736,m-006-01.pts,m-006,16
392.416,366.641,m-006-01.pts,m-006,17
392.416,389.054,m-006-01.pts,m-006,18
393.385,453.574,m-006-01.pts,m-006,19
287.931,379.398,m-006-01.pts,m-006,20
501.615,376.551,m-006-01.pts,m-006,21
334.991,259.195,m-006-02.pts,m-006,0
441.67,256.264,m-006-02.pts,m-006,1
329.129,360.599,m-006-02.pts,m-006,2
446.359,357.668,m-006-02.pts,m-006,3
281.065,250.403,m-006-02.pts,m-006,4
366.643,224.026,m-006-02.pts,m-006,5
407.673,226.371,m-006-02.pts,m-006,6
489.734,233.405,m-006-02.pts,m-006,7
273.445,259.195,m-006-02.pts,m-006,8
309.2,261.54,m-006-02.pts,m-006,9
360.195,257.437,m-006-02.pts,m-006,10
418.81,256.85,m-006-02.pts,m-006,11
472.736,256.264,m-006-02.pts,m-006,12
504.388,254.506,m-006-02.pts,m-006,13
385.986,316.052,m-006-02.pts,m-006,14
370.16,326.016,m-006-02.pts,m-006,15
403.57,323.671,m-006-02.pts,m-006,16
387.331,357.035,m-006-02.pts,m-006,17
388.33,391.665,m-006-02.pts,m-006,18
390.089,466.106,m-006-02.pts,m-006,19
283.41,365.874,m-006-02.pts,m-006,20
499.699,362.943,m-006-02.pts,m-006,21
331.879,272.244,m-006-03.pts,m-006,0
442.977,271.785,m-006-03.pts,m-006,1
344.274,393.902,m-006-03.pts,m-006,2
437.927,392.983,m-006-03.pts,m-006,3
283.215,262.144,m-006-03.pts,m-006,4
368.605,251.585,m-006-03.pts,m-006,5
401.201,252.962,m-006-03.pts,m-006,6
494.854,254.799,m-006-03.pts,m-006,7
269.443,277.294,m-006-03.pts,m-006,8
306.17,275.916,m-006-03.pts,m-006,9
359.424,274.998,m-006-03.pts,m-006,10
420.941,275.457,m-006-03.pts,m-006,11
472.359,272.703,m-006-03.pts,m-006,12
506.79,270.867,m-006-03.pts,m-006,13
381.919,337.434,m-006-03.pts,m-006,14
370.901,348.911,m-006-03.pts,m-006,15
401.201,347.993,m-006-03.pts,m-006,16
386.969,384.72,m-006-03.pts,m-006,17
388.805,414.101,m-006-03.pts,m-006,18
391.101,471.946,m-006-03.pts,m-006,19
285.511,393.442,m-006-03.pts,m-006,20
499.904,392.983,m-006-03.pts,m-006,21
339.342,271.595,m-006-05.pts,m-006,0
449.62,269.772,m-006-05.pts,m-006,1
346.633,390.987,m-006-05.pts,m-006,2
438.684,392.81,m-006-05.pts,m-006,3
289.215,259.747,m-006-05.pts,m-006,4
375.797,244.253,m-006-05.pts,m-006,5
414.076,245.165,m-006-05.pts,m-006,6
500.658,261.57,m-006-05.pts,m-006,7
273.722,268.861,m-006-05.pts,m-006,8
319.291,272.506,m-006-05.pts,m-006,9
360.304,274.329,m-006-05.pts,m-006,10
429.57,274.329,m-006-05.pts,m-006,11
470.582,270.684,m-006-05.pts,m-006,12
510.684,267.949,m-006-05.pts,m-006,13
392.203,339.949,m-006-05.pts,m-006,14
379.443,345.418,m-006-05.pts,m-006,15
409.519,343.595,m-006-05.pts,m-006,16
396.759,379.139,m-006-05.pts,m-006,17
397.671,405.57,m-006-05.pts,m-006,18
398.582,463.899,m-006-05.pts,m-006,19
289.215,391.899,m-006-05.pts,m-006,20
500.658,389.165,m-006-05.pts,m-006,21
308.705,246.903,m-007-01.pts,m-007,0
424.969,239.018,m-007-01.pts,m-007,1
330.211,366.757,m-007-01.pts,m-007,2
435.962,357.857,m-007-01.pts,m-007,3
263.345,235.854,m-007-01.pts,m-007,4
341.853,214.918,m-007-01.pts,m-007,5
379.653,209.103,m-007-01.pts,m-007,6
472.081,208.844,m-007-01.pts,m-007,7
245.899,257.371,m-007-01.pts,m-007,8
278.465,260.86,m-007-01.pts,m-007,9
338.364,243.995,m-007-01.pts,m-007,10
400.363,241.636,m-007-01.pts,m-007,11
458.474,240.065,m-007-01.pts,m-007,12
498.288,240.506,m-007-01.pts,m-007,13
371.57,289.276,m-007-01.pts,m-007,14
355.864,300.27,m-007-01.pts,m-007,15
388.322,297.129,m-007-01.pts,m-007,16
378.375,342.151,m-007-01.pts,m-007,17
382.04,374.61,m-007-01.pts,m-007,18
387.275,452.091,m-007-01.pts,m-007,19
269.16,367.282,m-007-01.pts,m-007,20
500.032,349.255,m-007-01.pts,m-007,21
312.131,258.609,m-007-02.pts,m-007,0
426.43,249.817,m-007-02.pts,m-007,1
321.847,365.818,m-007-02.pts,m-007,2
442.892,353.246,m-007-02.pts,m-007,3
263.481,238.094,m-007-02.pts,m-007,4
347.011,224.585,m-007-02.pts,m-007,5
389.246,222.755,m-007-02.pts,m-007,6
470.845,214.051,m-007-02.pts,m-007,7
253.516,270.332,m-007-02.pts,m-007,8
285.754,265.643,m-007-02.pts,m-007,9
337.922,257.437,m-007-02.pts,m-007,10
402.398,252.161,m-007-02.pts,m-007,11
461.013,249.231,m-007-02.pts,m-007,12
500.285,243.369,m-007-02.pts,m-007,13
374.435,304.756,m-007-02.pts,m-007,14
354.469,313.313,m-007-02.pts,m-007,15
391.55,311.602,m-007-02.pts,m-007,16
381.281,352.676,m-007-02.pts,m-007,17
385.96,392.298,m-007-02.pts,m-007,18
393.02,469.623,m-007-02.pts,m-007,19
268.898,374.924,m-007-02.pts,m-007,20
504.974,347.704,m-007-02.pts,m-007,21
311.535,261.068,m-007-03.pts,m-007,0
427.475,250.175,m-007-03.pts,m-007,1
334.348,383.38,m-007-03.pts,m-007,2
428.509,373.188,m-007-03.pts,m-007,3
262.514,243.11,m-007-03.pts,m-007,4
346.482,227.578,m-007-03.pts,m-007,5
383.37,223.21,m-007-03.pts,m-007,6
474.618,220.297,m-007-03.pts,m-007,7
255.718,271.746,m-007-03.pts,m-007,8
282.899,273.688,m-007-03.pts,m-007,9
334.348,257.185,m-007-03.pts,m-007,10
404.24,253.788,m-007-03.pts,m-007,11
456.66,252.331,m-007-03.pts,m-007,12
500.343,246.022,m-007-03.pts,m-007,13
368.809,304.751,m-007-03.pts,m-007,14
356.675,315.429,m-007-03.pts,m-007,15
386.282,313.002,m-007-03.pts,m-007,16
375.604,358.141,m-007-03.pts,m-007,17
380.943,394.058,m-007-03.pts,m-007,18
390.165,465.407,m-007-03.pts,m-007,19
279.016,391.146,m-007-03.pts,m-007,20
499.372,372.217,m-007-03.pts,m-007,21
325.671,261.57,m-007-05.pts,m-007,0
441.418,254.278,m-007-05.pts,m-007,1
351.19,384.608,m-007-05.pts,m-007,2
443.241,377.316,m-007-05.pts,m-007,3
275.544,252.456,m-007-05.pts,m-007,4
369.418,231.494,m-007-05.pts,m-007,5
399.494,230.582,m-007-05.pts,m-007,6
489.722,232.405,m-007-05.pts,m-007,7
262.785,263.392,m-007-05.pts,m-007,8
305.62,267.949,m-007-05.pts,m-007,9
347.544,260.658,m-007-05.pts,m-007,10
421.367,257.013,m-007-05.pts,m-007,11
461.468,257.013,m-007-05.pts,m-007,12
