File,Folder,Points,Features
m-003-03.pts,m-003,"[(321.737, 276.004), (435.829, 271.25), (326.966, 396.751), (430.599, 401.98), (274.199, 270.299), (357.866, 259.365), (398.749, 257.464), (477.662, 256.038), (255.184, 285.036), (292.739, 285.511), (350.26, 277.905), (410.633, 275.528), (464.827, 274.102), (495.251, 274.102), (375.93, 342.557), (359.292, 348.737), (393.52, 351.114), (378.783, 391.997), (379.734, 414.34), (379.734, 478.992), (271.346, 392.948), (485.268, 402.455)]","{'Eye length ratio': 0.3511146774282322, 'Eye distance ratio': 0.5094959536326786, 'Nose ratio': 0.16022945384573767, 'Lip size ratio': 4.639975367432608, 'Lip length ratio': 0.4845809096394064, 'Eye-brow length ratio': 0.3511146774282322, 'Aggressive ratio': 0.9491084170775382}"
m-003-05.pts,m-003,"[(322.937, 268.861), (437.772, 265.215), (343.899, 383.696), (437.772, 388.253), (288.304, 253.367), (376.709, 242.43), (416.81, 240.608), (491.544, 245.165), (265.519, 270.684), (312.0, 271.595), (353.013, 265.215), (425.924, 266.127), (467.848, 266.127), (502.481, 263.392), (387.646, 326.278), (373.975, 335.392), (411.342, 337.215), (393.114, 378.228), (395.848, 397.367), (395.848, 463.899), (276.456, 382.785), (493.367, 388.253)]","{'Eye length ratio': 0.3757430193212956, 'Eye distance ratio': 0.5136522708557942, 'Nose ratio': 0.17241892347968588, 'Lip size ratio': 4.8612288076405115, 'Lip length ratio': 0.4331439879439061, 'Eye-brow length ratio': 0.3757430193212956, 'Aggressive ratio': 0.9367182106292136}"
m-004-01.pts,m-004,"[(297.286, 264.651), (430.997, 259.108), (313.412, 408.644), (426.677, 405.45), (241.498, 241.8), (337.746, 226.182), (383.936, 226.105), (489.868, 231.278), (224.542, 270.193), (266.11, 268.807), (331.233, 265.343), (397.743, 262.572), (465.637, 258.415), (511.362, 255.644), (366.566, 333.238), (348.553, 346.401), (382.501, 345.016), (368.08, 399.771), (368.652, 416.086), (368.645, 512.674), (244.243, 408.38), (502.581, 403.026)]","{'Eye length ratio': 0.36929798594874863, 'Eye distance ratio': 0.5131653203142881, 'Nose ratio': 0.13149032012735276, 'Lip size ratio': 6.94087955622585, 'Lip length ratio': 0.4385173647634465, 'Eye-brow length ratio': 0.36929798594874863, 'Aggressive ratio': 0.9680759992745684}"
m-004-02.pts,m-004,"[(318.17, 284.158), (454.802, 281.543), (316.209, 416.214), (462.647, 405.1), (260.64, 256.7), (356.087, 255.393), (420.154, 258.008), (518.869, 258.662), (239.721, 293.964), (282.868, 289.388), (354.779, 287.426), (414.27, 285.465), (487.489, 284.811), (532.598, 258.662), (386.813, 366.529), (363.932, 373.067), (407.733, 373.067), (388.12, 403.793), (388.774, 460.668), (394.004, 531.926), (256.064, 418.829), (532.598, 395.948)]","{'Eye length ratio': 0.3346379840359319, 'Eye distance ratio': 0.5463252373772483, 'Nose ratio': 0.15785338928046774, 'Lip size ratio': 2.5819681409544306, 'Lip length ratio': 0.5292622082569076, 'Eye-brow length ratio': 0.3346379840359319, 'Aggressive ratio': 0.8924150549439394}"
m-004-03.pts,m-004,"[(318.903, 305.722), (456.828, 305.142), (331.652, 452.919), (443.499, 454.078), (259.792, 281.382), (360.628, 284.859), (408.148, 286.018), (520.575, 282.541), (241.248, 306.881), (286.45, 308.619), (354.253, 309.199), (420.898, 308.619), (487.542, 305.722), (539.699, 308.04), (380.911, 392.07), (363.526, 405.399), (401.194, 404.24), (384.968, 448.862), (386.127, 479.577), (388.445, 551.437), (267.326, 454.658), (515.938, 455.817)]","{'Eye length ratio': 0.3768789688919905, 'Eye distance ratio': 0.5165159258304036, 'Nose ratio': 0.15158325746629214, 'Lip size ratio': 3.639051229901352, 'Lip length ratio': 0.4499050302999259, 'Eye-brow length ratio': 0.3768789688919905, 'Aggressive ratio': 0.9840094141137251}"
m-004-05.pts,m-004,"[(318.38, 277.063), (450.532, 268.861), (333.873, 418.329), (443.241, 414.684), (259.139, 266.127), (359.392, 244.253), (414.076, 240.608), (511.595, 254.278), (245.468, 278.886), (291.038, 282.532), (349.367, 280.709), (421.367, 274.329), (474.228, 273.418), (528.911, 267.949), (384.0, 350.886), (366.684, 359.089), (404.051, 357.266), (388.557, 406.481), (388.557, 434.734), (388.557, 524.962), (270.076, 420.152), (517.063, 413.772)]","{'Eye length ratio': 0.36174918358271535, 'Eye distance ratio': 0.5420876009567658, 'Nose ratio': 0.1514207916171502, 'Lip size ratio': 3.873171809872836, 'Lip length ratio': 0.4429068447385522, 'Eye-brow length ratio': 0.36174918358271535, 'Aggressive ratio': 1.0012450748355395}"
m-005-01.pts,m-005,"[(327.902, 261.809), (453.724, 265.156), (327.467, 393.92), (440.731, 390.726), (280.507, 241.762), (366.826, 244.418), (409.985, 243.09), (497.631, 234.458), (248.258, 263.148), (291.761, 264.487), (356.011, 264.487), (426.954, 265.825), (483.842, 267.164), (509.943, 265.156), (390.813, 326.729), (373.412, 342.791), (404.868, 342.791), (382.809, 386.539), (382.266, 397.391), (382.699, 497.95), (250.266, 397.671), (509.583, 391.823)]","{'Eye length ratio': 0.3365399309503237, 'Eye distance ratio': 0.4975799710096462, 'Nose ratio': 0.12127243575880982, 'Lip size ratio': 10.42825713517774, 'Lip length ratio': 0.4368407157458293, 'Eye-brow length ratio': 0.3365399309503237, 'Aggressive ratio': 0.905932582934668}"
m-005-02.pts,m-005,"[(339.68, 275.607), (465.116, 278.538), (331.474, 398.699), (461.599, 398.112), (287.513, 252.747), (371.332, 260.954), (425.844, 266.229), (513.18, 253.92), (257.033, 282.055), (307.442, 279.71), (368.988, 279.71), (435.809, 278.538), (494.423, 283.227), (529.006, 277.952), (398.295, 354.151), (381.297, 362.943), (418.224, 362.357), (395.46, 393.069), (395.364, 438.557), (395.95, 513.584), (261.136, 399.285), (526.075, 394.009)]","{'Eye length ratio': 0.32425684015148615, 'Eye distance ratio': 0.5151638232793747, 'Nose ratio': 0.13936917021487424, 'Lip size ratio': 2.8606673011822696, 'Lip length ratio': 0.491058431118104, 'Eye-brow length ratio': 0.32425684015148615, 'Aggressive ratio': 0.8884171491168574}"
m-005-03.pts,m-005,"[(331.267, 279.792), (456.388, 284.604), (325.92, 412.399), (434.999, 419.35), (277.261, 259.473), (369.765, 268.028), (416.819, 268.028), (506.65, 269.098), (253.734, 278.722), (299.184, 279.792), (358.002, 285.139), (428.583, 286.743), (484.727, 288.882), (516.809, 286.743), (387.411, 353.046), (371.37, 367.483), (403.452, 370.157), (383.133, 411.864), (381.529, 433.787), (375.112, 505.437), (252.13, 405.447), (499.164, 425.766)]","{'Eye length ratio': 0.3529624712524121, 'Eye distance ratio': 0.5254813798554454, 'Nose ratio': 0.12988048032978547, 'Lip size ratio': 4.972351841300769, 'Lip length ratio': 0.44096111240756647, 'Eye-brow length ratio': 0.3529624712524121, 'Aggressive ratio': 0.8914472322358881}"
m-005-05.pts,m-005,"[(329.316, 255.19), (456.0, 260.658), (327.494, 384.608), (430.481, 389.165), (285.57, 237.873), (374.886, 233.316), (420.456, 235.139), (503.392, 247.899), (266.43, 255.19), (302.886, 258.835), (350.278, 257.924), (432.304, 261.57), (478.785, 265.215), (515.241, 261.57), (388.557, 318.987), (372.152, 326.278), (402.228, 329.013), (384.911, 372.759), (384.0, 396.456), (384.0, 476.658), (251.848, 380.962), (508.861, 391.899)]","{'Eye length ratio': 0.359320083242023, 'Eye distance ratio': 0.5296625745203352, 'Nose ratio': 0.11739792257061855, 'Lip size ratio': 4.347034528121439, 'Lip length ratio': 0.40073676421682697, 'Eye-brow length ratio': 0.359320083242023, 'Aggressive ratio': 0.8603380423770507}"
m-006-01.pts,m-006,"[(338.274, 255.705), (447.832, 255.041), (343.769, 373.008), (445.902, 374.791), (287.426, 239.895), (375.457, 233.794), (409.321, 229.146), (495.639, 237.114), (273.203, 257.033), (312.84, 256.293), (363.506, 258.361), (426.207, 257.278), (479.04, 255.041), (509.583, 253.713), (392.057, 320.776), (378.777, 330.736), (407.329, 330.736), (392.416, 366.641), (392.416, 389.054), (393.385, 453.574), (287.931, 379.398), (501.615, 376.551)]","{'Eye length ratio': 0.37326956464864425, 'Eye distance ratio': 0.5122410552699289, 'Nose ratio': 0.13360600773716824, 'Lip size ratio': 4.557558661956056, 'Lip length ratio': 0.4779931915002303, 'Eye-brow length ratio': 0.37326956464864425, 'Aggressive ratio': 0.9241162342768091}"
m-006-02.pts,m-006,"[(334.991, 259.195), (441.67, 256.264), (329.129, 360.599), (446.359, 357.668), (281.065, 250.403), (366.643, 224.026), (407.673, 226.371), (489.734, 233.405), (273.445, 259.195), (309.2, 261.54), (360.195, 257.437), (418.81, 256.85), (472.736, 256.264), (504.388, 254.506), (385.986, 316.052), (370.16, 326.016), (403.57, 323.671), (387.331, 357.035), (388.33, 391.665), (390.089, 466.106), (283.41, 365.874), (499.699, 362.943)]","{'Eye length ratio': 0.38768144686335826, 'Eye distance ratio': 0.5414258676547637, 'Nose ratio': 0.1548350595193754, 'Lip size ratio': 3.3848648825026486, 'Lip length ratio': 0.5421259013319417, 'Eye-brow length ratio': 0.38768144686335826, 'Aggressive ratio': 0.9745298403326075}"
m-006-03.pts,m-006,"[(331.879, 272.244), (442.977, 271.785), (344.274, 393.902), (437.927, 392.983), (283.215, 262.144), (368.605, 251.585), (401.201, 252.962), (494.854, 254.799), (269.443, 277.294), (306.17, 275.916), (359.424, 274.998), (420.941, 275.457), (472.359, 272.703), (506.79, 270.867), (381.919, 337.434), (370.901, 348.911), (401.201, 347.993), (386.969, 384.72), (388.805, 414.101), (391.101, 471.946), (285.511, 393.442), (499.904, 392.983)]","{'Eye length ratio': 0.3945139040418928, 'Eye distance ratio': 0.5144753989953903, 'Nose ratio': 0.1413937660005148, 'Lip size ratio': 3.181483956481721, 'Lip length ratio': 0.43684865755790636, 'Eye-brow length ratio': 0.3945139040418928, 'Aggressive ratio': 0.9304349130397461}"
m-006-05.pts,m-006,"[(339.342, 271.595), (449.62, 269.772), (346.633, 390.987), (438.684, 392.81), (289.215, 259.747), (375.797, 244.253), (414.076, 245.165), (500.658, 261.57), (273.722, 268.861), (319.291, 272.506), (360.304, 274.329), (429.57, 274.329), (470.582, 270.684), (510.684, 267.949), (392.203, 339.949), (379.443, 345.418), (409.519, 343.595), (396.759, 379.139), (397.671, 405.57), (398.582, 463.899), (289.215, 391.899), (500.658, 389.165)]","{'Eye length ratio': 0.37188156959126056, 'Eye distance ratio': 0.5269518468043316, 'Nose ratio': 0.14249078805279766, 'Lip size ratio': 3.4813018958391813, 'Lip length ratio': 0.43539561132384746, 'Eye-brow length ratio': 0.37188156959126056, 'Aggressive ratio': 0.9145716650702717}"
m-007-01.pts,m-007,"[(308.705, 246.903), (424.969, 239.018), (330.211, 366.757), (435.962, 357.857), (263.345, 235.854), (341.853, 214.918), (379.653, 209.103), (472.081, 208.844), (245.899, 257.371), (278.465, 260.86), (338.364, 243.995), (400.363, 241.636), (458.474, 240.065), (498.288, 240.506), (371.57, 289.276), (355.864, 300.27), (388.322, 297.129), (378.375, 342.151), (382.04, 374.61), (387.275, 452.091), (269.16, 367.282), (500.032, 349.255)]","{'Eye length ratio': 0.3653990471167221, 'Eye distance ratio': 0.49161855444457553, 'Nose ratio': 0.14081685762776222, 'Lip size ratio': 3.2488602927614214, 'Lip length ratio': 0.4582747583963469, 'Eye-brow length ratio': 0.3653990471167221, 'Aggressive ratio': 0.923100603377421}"
m-007-02.pts,m-007,"[(312.131, 258.609), (426.43, 249.817), (321.847, 365.818), (442.892, 353.246), (263.481, 238.094), (347.011, 224.585), (389.246, 222.755), (470.845, 214.051), (253.516, 270.332), (285.754, 265.643), (337.922, 257.437), (402.398, 252.161), (461.013, 249.231), (500.285, 243.369), (374.435, 304.756), (354.469, 313.313), (391.55, 311.602), (381.281, 352.676), (385.96, 392.298), (393.02, 469.623), (268.898, 374.924), (504.974, 347.704)]","{'Eye length ratio': 0.34086417322511176, 'Eye distance ratio': 0.5054357549439298, 'Nose ratio': 0.1562045180397724, 'Lip size ratio': 3.050233320339739, 'Lip length ratio': 0.5121027062205774, 'Eye-brow length ratio': 0.34086417322511176, 'Aggressive ratio': 0.9224997810700857}"
m-007-03.pts,m-007,"[(311.535, 261.068), (427.475, 250.175), (334.348, 383.38), (428.509, 373.188), (262.514, 243.11), (346.482, 227.578), (383.37, 223.21), (474.618, 220.297), (255.718, 271.746), (282.899, 273.688), (334.348, 257.185), (404.24, 253.788), (456.66, 252.331), (500.343, 246.022), (368.809, 304.751), (356.675, 315.429), (386.282, 313.002), (375.604, 358.141), (380.943, 394.058), (390.165, 465.407), (279.016, 391.146), (499.372, 372.217)]","{'Eye length ratio': 0.3711553102028034, 'Eye distance ratio': 0.5091420148069093, 'Nose ratio': 0.13431587131260067, 'Lip size ratio': 2.6082810809273878, 'Lip length ratio': 0.42823188387589844, 'Eye-brow length ratio': 0.3711553102028034, 'Aggressive ratio': 0.9747068971412743}"
m-007-05.pts,m-007,"[(325.671, 261.57), (441.418, 254.278), (351.19, 384.608), (443.241, 377.316), (275.544, 252.456), (369.418, 231.494), (399.494, 230.582), (489.722, 232.405), (262.785, 263.392), (305.62, 267.949), (347.544, 260.658), (421.367, 257.013), (461.468, 257.013), (507.949, 250.633), (390.38, 309.873), (374.886, 318.987), (406.785, 318.076), (393.114, 356.354), (399.494, 394.633), (399.494, 467.544), (287.392, 389.165), (502.481, 376.405)]","{'Eye length ratio': 0.39180278457933143, 'Eye distance ratio': 0.49929965806197624, 'Nose ratio': 0.14810612644668558, 'Lip size ratio': 2.3794491094952104, 'Lip length ratio': 0.42855428562004066, 'Eye-brow length ratio': 0.39180278457933143, 'Aggressive ratio': 0.9899826297388349}"
m-008-01.pts,m-008,"[(325.969, 255.594), (440.992, 265.086), (327.887, 384.105), (432.362, 386.517), (277.95, 227.676), (364.318, 238.952), (395.206, 240.518), (491.802, 237.168), (269.742, 257.952), (294.143, 257.828), (346.862, 260.349), (413.074, 268.436), (465.56, 267.32), (509.67, 265.645), (379.014, 327.064), (361.146, 334.323), (392.414, 338.79), (378.793, 375.4), (377.187, 406.047), (377.339, 462.746), (287.188, 387.636), (492.361, 387.367)]","{'Eye length ratio': 0.40263923482703623, 'Eye distance ratio': 0.5102861050142621, 'Nose ratio': 0.15394541591477945, 'Lip size ratio': 3.4052157362572815, 'Lip length ratio': 0.5093396754441926, 'Eye-brow length ratio': 0.40263923482703623, 'Aggressive ratio': 0.9975902289065642}"
m-008-02.pts,m-008,"[(333.361, 255.695), (448.597, 272.239), (319.67, 362.374), (438.899, 378.917), (287.723, 230.024), (375.006, 243.715), (402.959, 242.574), (502.792, 247.138), (278.025, 253.984), (299.703, 256.266), (364.167, 260.829), (422.355, 270.528), (474.839, 276.803), (521.617, 285.93), (382.992, 332.139), (363.026, 337.843), (403.529, 343.548), (377.288, 361.803), (371.583, 409.152), (369.872, 464.488), (279.166, 356.098), (502.792, 377.776)]","{'Eye length ratio': 0.4067817568235316, 'Eye distance ratio': 0.49566200741251215, 'Nose ratio': 0.1820538403963237, 'Lip size ratio': 2.5239573704509324, 'Lip length ratio': 0.5357587352675183, 'Eye-brow length ratio': 0.4067817568235316, 'Aggressive ratio': 0.9068190058953421}"
m-008-03.pts,m-008,"[(328.577, 283.175), (449.209, 291.021), (335.442, 413.615), (433.027, 418.029), (282.971, 261.598), (374.182, 270.916), (400.662, 272.387), (506.584, 273.858), (267.279, 282.194), (297.192, 284.646), (354.076, 287.098), (422.239, 296.415), (473.994, 296.013), (516.391, 291.511), (385.951, 357.222), (368.297, 368.501), (400.662, 370.953), (383.009, 406.75), (382.518, 436.663), (382.518, 487.172), (287.875, 408.712), (495.795, 419.99)]","{'Eye length ratio': 0.4249421996095143, 'Eye distance ratio': 0.5023737496109008, 'Nose ratio': 0.15587777259039273, 'Lip size ratio': 3.2651897153399694, 'Lip length ratio': 0.4691294211523569, 'Eye-brow length ratio': 0.4249421996095143, 'Aggressive ratio': 0.9705120984905372}"
m-008-05.pts,m-008,"[(338.43, 259.747), (456.0, 267.038), (346.633, 383.696), (440.506, 388.253), (290.127, 249.722), (384.911, 238.785), (410.43, 236.051), (510.684, 253.367), (284.658, 257.924), (313.823, 262.481), (360.304, 265.215), (432.304, 269.772), (475.139, 270.684), (520.709, 268.861), (392.203, 329.924), (378.532, 337.215), (409.519, 338.127), (390.38, 373.671), (391.291, 403.747), (391.291, 462.076), (301.975, 385.519), (501.57, 390.076)]","{'Eye length ratio': 0.4305400203759018, 'Eye distance ratio': 0.5206798005555516, 'Nose ratio': 0.15527614111811824, 'Lip size ratio': 3.12343592092099, 'Lip length ratio': 0.47074855341921956, 'Eye-brow length ratio': 0.4305400203759018, 'Aggressive ratio': 0.9981859278073666}"
m-009-01.pts,m-009,"[(317.735, 266.556), (432.457, 270.429), (328.868, 400.641), (419.871, 400.157), (265.94, 249.614), (350.651, 243.321), (399.057, 243.321), (486.672, 258.811), (248.998, 267.525), (291.111, 269.945), (340.485, 269.945), (409.222, 274.301), (456.176, 273.333), (496.73, 268.786), (374.37, 332.873), (357.428, 346.91), (390.344, 347.395), (372.803, 384.793), (372.367, 413.212), (369.909, 480.659), (263.52, 397.737), (486.188, 398.705)]","{'Eye length ratio': 0.3591485885361788, 'Eye distance ratio': 0.5435139702054624, 'Nose ratio': 0.14784011106221853, 'Lip size ratio': 3.2018571735229067, 'Lip length ratio': 0.4086955788164631, 'Eye-brow length ratio': 0.3591485885361788, 'Aggressive ratio': 0.9554873078760482}"
m-009-02.pts,m-009,"[(320.24, 259.689), (434.905, 267.105), (308.261, 374.924), (434.905, 378.917), (270.039, 245.997), (352.187, 234.588), (397.825, 238.581), (485.107, 249.991), (256.347, 260.259), (292.858, 261.4), (344.771, 261.4), (407.523, 267.675), (462.859, 271.668), (498.798, 272.239), (375.006, 329.286), (360.174, 340.696), (394.972, 339.555), (370.442, 370.36), (369.301, 412.575), (368.731, 481.603), (258.059, 373.213), (490.241, 381.199)]","{'Eye length ratio': 0.3626191225126519, 'Eye distance ratio': 0.5372435780727389, 'Nose ratio': 0.1498657286871564, 'Lip size ratio': 3.0003713475205585, 'Lip length ratio': 0.5453999408008843, 'Eye-brow length ratio': 0.3626191225126519, 'Aggressive ratio': 0.9534407697122428}"
m-009-03.pts,m-009,"[(324.429, 270.966), (437.351, 281.003), (319.411, 399.445), (422.294, 404.965), (271.231, 260.928), (365.583, 261.43), (391.178, 264.441), (491.051, 280.501), (252.16, 275.482), (290.302, 274.981), (348.519, 276.486), (411.253, 284.516), (465.455, 288.029), (502.092, 289.535), (376.122, 345.243), (358.055, 354.276), (391.178, 356.786), (373.111, 391.917), (372.107, 418.516), (371.104, 483.257), (259.688, 393.924), (483.523, 412.493)]","{'Eye length ratio': 0.4040958825542207, 'Eye distance ratio': 0.49226045979425576, 'Nose ratio': 0.14789575977022673, 'Lip size ratio': 3.870734174754409, 'Lip length ratio': 0.4587229927902775, 'Eye-brow length ratio': 0.4040958825542207, 'Aggressive ratio': 0.9260782367941333}"
m-009-05.pts,m-009,"[(315.646, 266.127), (430.481, 268.861), (331.139, 397.367), (418.633, 396.456), (264.608, 257.013), (353.013, 245.165), (394.937, 241.519), (481.519, 259.747), (249.114, 267.038), (293.772, 268.861), (336.608, 267.949), (409.519, 271.595), (455.089, 274.329), (497.013, 269.772), (372.152, 339.038), (357.57, 343.595), (392.203, 343.595), (373.063, 380.962), (376.709, 414.684), (376.709, 475.747), (269.165, 398.278), (484.253, 398.278)]","{'Eye length ratio': 0.35978351900822253, 'Eye distance ratio': 0.5220288640624482, 'Nose ratio': 0.16101781596369852, 'Lip size ratio': 2.579673869835622, 'Lip length ratio': 0.40680438984226913, 'Eye-brow length ratio': 0.35978351900822253, 'Aggressive ratio': 0.9839321094608122}"
