File,Features
m-007-03.pts,"{'Eye length ratio': 0.21966158483565934, 'Eye distance ratio': 0.2844794926906517, 'Nose ratio': 0.13431587131260067, 'Lip size ratio': 2.6082810809273878, 'Lip length ratio': 0.42823188387589844, 'Eye-brow length ratio': 0.3711553102028034, 'Aggressive ratio left': 0.9747068971412743, 'Jaw line ratio': 0.6491175945029037, 'Jaw horizontal length ratio': 0.32528515481911685, 'Nose tip to lips distance': 53.820666337383855, 'Lower lips to chin distance': 71.94251236230215, 'Nose tip to chin': 162.06921074652027}"
m-007-05.pts,"{'Eye length ratio': 0.17333603766500108, 'Eye distance ratio': 0.3010761744988688, 'Nose ratio': 0.14810612644668558, 'Lip size ratio': 2.3794491094952104, 'Lip length ratio': 0.42855428562004066, 'Eye-brow length ratio': 0.39180278457933143, 'Aggressive ratio left': 0.9899826297388349, 'Jaw line ratio': 0.6382561258702955, 'Jaw horizontal length ratio': 0.3383856787807967, 'Nose tip to lips distance': 46.561337147895564, 'Lower lips to chin distance': 72.911, 'Nose tip to chin': 157.93419274178723}"
m-008-01.pts,"{'Eye length ratio': 0.21986651096541932, 'Eye distance ratio': 0.2778740887599913, 'Nose ratio': 0.15394541591477945, 'Lip size ratio': 3.4052157362572815, 'Lip length ratio': 0.5093396754441926, 'Eye-brow length ratio': 0.40263923482703623, 'Aggressive ratio left': 0.9975902289065642, 'Jaw line ratio': 0.6702684373355359, 'Jaw horizontal length ratio': 0.2763480331750191, 'Nose tip to lips distance': 48.336505221209315, 'Lower lips to chin distance': 56.699203742204304, 'Nose tip to chin': 135.69233857886005}"
m-008-02.pts,"{'Eye length ratio': 0.2630489048892463, 'Eye distance ratio': 0.24011441717219292, 'Nose ratio': 0.1820538403963237, 'Lip size ratio': 2.5239573704509324, 'Lip length ratio': 0.5357587352675183, 'Eye-brow length ratio': 0.4067817568235316, 'Aggressive ratio left': 0.9068190058953421, 'Jaw line ratio': 0.7063700710177236, 'Jaw horizontal length ratio': 0.24641205298770807, 'Nose tip to lips distance': 30.207424782658972, 'Lower lips to chin distance': 55.36244590875661, 'Nose tip to chin': 132.99771502172507}"
m-008-03.pts,"{'Eye length ratio': 0.22839944274436302, 'Eye distance ratio': 0.27597523631187343, 'Nose ratio': 0.15587777259039273, 'Lip size ratio': 3.2651897153399694, 'Lip length ratio': 0.4691294211523569, 'Eye-brow length ratio': 0.4249421996095143, 'Aggressive ratio left': 0.9705120984905372, 'Jaw line ratio': 0.6324907579232399, 'Jaw horizontal length ratio': 0.24256858341757498, 'Nose tip to lips distance': 49.61530155103365, 'Lower lips to chin distance': 50.509000000000015, 'Nose tip to chin': 129.99533833564962}"
m-008-05.pts,"{'Eye length ratio': 0.19703978937579839, 'Eye distance ratio': 0.30530161774624465, 'Nose ratio': 0.15527614111811824, 'Lip size ratio': 3.12343592092099, 'Lip length ratio': 0.47074855341921956, 'Eye-brow length ratio': 0.4305400203759018, 'Aggressive ratio left': 0.9981859278073666, 'Jaw line ratio': 0.6596750586567384, 'Jaw horizontal length ratio': 0.2921606428093538, 'Nose tip to lips distance': 43.78496703207622, 'Lower lips to chin distance': 58.32900000000001, 'Nose tip to chin': 132.15514688425878}"
m-009-01.pts,"{'Eye length ratio': 0.1993015047487047, 'Eye distance ratio': 0.2780181552092977, 'Nose ratio': 0.14784011106221853, 'Lip size ratio': 3.2018571735229067, 'Lip length ratio': 0.4086955788164631, 'Eye-brow length ratio': 0.3591485885361788, 'Aggressive ratio left': 0.9554873078760482, 'Jaw line ratio': 0.6388721933173429, 'Jaw horizontal length ratio': 0.3031020908463912, 'Nose tip to lips distance': 51.94364146842231, 'Lower lips to chin distance': 67.49177411359106, 'Nose tip to chin': 147.85331351376607}"
m-009-02.pts,"{'Eye length ratio': 0.2285504042159917, 'Eye distance ratio': 0.25979728750617687, 'Nose ratio': 0.1498657286871564, 'Lip size ratio': 3.0003713475205585, 'Lip length ratio': 0.5453999408008843, 'Eye-brow length ratio': 0.3626191225126519, 'Aggressive ratio left': 0.9534407697122428, 'Jaw line ratio': 0.6784843458613955, 'Jaw horizontal length ratio': 0.29713568027102194, 'Nose tip to lips distance': 41.32679000358001, 'Lower lips to chin distance': 69.03035335271001, 'Nose tip to chin': 152.4462007201229}"
m-009-03.pts,"{'Eye length ratio': 0.23264171948908452, 'Eye distance ratio': 0.2526531032321972, 'Nose ratio': 0.14789575977022673, 'Lip size ratio': 3.870734174754409, 'Lip length ratio': 0.4587229927902775, 'Eye-brow length ratio': 0.4040958825542207, 'Aggressive ratio left': 0.9260782367941333, 'Jaw line ratio': 0.6358181810195495, 'Jaw horizontal length ratio': 0.28827979852321617, 'Nose tip to lips distance': 46.7710209103885, 'Lower lips to chin distance': 64.74876902304783, 'Nose tip to chin': 138.10519367496647}"
m-009-05.pts,"{'Eye length ratio': 0.18414420477055485, 'Eye distance ratio': 0.29446534695794446, 'Nose ratio': 0.16101781596369852, 'Lip size ratio': 2.579673869835622, 'Lip length ratio': 0.40680438984226913, 'Eye-brow length ratio': 0.35978351900822253, 'Aggressive ratio left': 0.9839321094608122, 'Jaw line ratio': 0.6162182710512547, 'Jaw horizontal length ratio': 0.28389775347764634, 'Nose tip to lips distance': 41.9338967542965, 'Lower lips to chin distance': 61.06299999999999, 'Nose tip to chin': 136.7849294695874}"
m-010-01.pts,"{'Eye length ratio': 0.22817467910563158, 'Eye distance ratio': 0.22860731455463354, 'Nose ratio': 0.16476958426435648, 'Lip size ratio': 3.8319494504655625, 'Lip length ratio': 0.4559869676155068, 'Eye-brow length ratio': 0.3773426114028894, 'Aggressive ratio left': 1.070128033838615, 'Jaw line ratio': 0.6901718498589673, 'Jaw horizontal length ratio': 0.3807456686034817, 'Nose tip to lips distance': 56.25710595115964, 'Lower lips to chin distance': 87.8487343392038, 'Nose tip to chin': 171.5327761478838}"
m-010-02.pts,"{'Eye length ratio': 0.24280393271495893, 'Eye distance ratio': 0.20836846613188956, 'Nose ratio': 0.19532510557830562, 'Lip size ratio': 3.126564685241064, 'Lip length ratio': 0.5307577906666745, 'Eye-brow length ratio': 0.36056657844904655, 'Aggressive ratio left': 1.0573127453621307, 'Jaw line ratio': 0.7246663611345044, 'Jaw horizontal length ratio': 0.37083781664725707, 'Nose tip to lips distance': 48.573000000000036, 'Lower lips to chin distance': 87.67311396887872, 'Nose tip to chin': 176.23261091239615}"
m-010-03.pts,"{'Eye length ratio': 0.22259348547706104, 'Eye distance ratio': 0.21926714894562593, 'Nose ratio': 0.15170503337628027, 'Lip size ratio': 3.6593679203786627, 'Lip length ratio': 0.4392043375547021, 'Eye-brow length ratio': 0.3622898260286432, 'Aggressive ratio left': 0.9975242985557482, 'Jaw line ratio': 0.6557225199819248, 'Jaw horizontal length ratio': 0.33409261211471075, 'Nose tip to lips distance': 55.50766272326727, 'Lower lips to chin distance': 76.84318511097779, 'Nose tip to chin': 159.9025711175402}"
m-010-05.pts,"{'Eye length ratio': 0.199194279018161, 'Eye distance ratio': 0.24895505738418852, 'Nose ratio': 0.19513114551735028, 'Lip size ratio': 3.0251689273397795, 'Lip length ratio': 0.4430239240883601, 'Eye-brow length ratio': 0.3871331135466071, 'Aggressive ratio left': 1.0830719663711574, 'Jaw line ratio': 0.6950574091630249, 'Jaw horizontal length ratio': 0.3817999051448265, 'Nose tip to lips distance': 56.623505295945755, 'Lower lips to chin distance': 85.67100000000005, 'Nose tip to chin': 175.07244252023222}"
m-011-01.pts,"{'Eye length ratio': 0.19487406538601978, 'Eye distance ratio': 0.2665387343126292, 'Nose ratio': 0.142760797734852, 'Lip size ratio': 4.107610997937403, 'Lip length ratio': 0.46208608750193836, 'Eye-brow length ratio': 0.33437705137743806, 'Aggressive ratio left': 0.9537076799503625, 'Jaw line ratio': 0.6650278834767691, 'Jaw horizontal length ratio': 0.3254423895538069, 'Nose tip to lips distance': 52.909452992825415, 'Lower lips to chin distance': 78.42274905918559, 'Nose tip to chin': 158.40363088010324}"
m-011-02.pts,"{'Eye length ratio': 0.2300025528530167, 'Eye distance ratio': 0.2437844881928162, 'Nose ratio': 0.152983272664492, 'Lip size ratio': 2.5169839092084656, 'Lip length ratio': 0.5109129976173905, 'Eye-brow length ratio': 0.3426426035287655, 'Aggressive ratio left': 0.869652238935772, 'Jaw line ratio': 0.6757528935840148, 'Jaw horizontal length ratio': 0.2624262463641538, 'Nose tip to lips distance': 41.69990163057943, 'Lower lips to chin distance': 67.81859913769966, 'Nose tip to chin': 161.95834869805262}"
m-011-03.pts,"{'Eye length ratio': 0.21806763998131143, 'Eye distance ratio': 0.27297642392483623, 'Nose ratio': 0.1553417054040257, 'Lip size ratio': 2.7828136368053262, 'Lip length ratio': 0.4506543579661638, 'Eye-brow length ratio': 0.3819746104267135, 'Aggressive ratio left': 0.982322010041096, 'Jaw line ratio': 0.6713222552231485, 'Jaw horizontal length ratio': 0.2721594577790815, 'Nose tip to lips distance': 51.81529366895454, 'Lower lips to chin distance': 63.00899999999996, 'Nose tip to chin': 152.14312920733553}"
m-011-05.pts,"{'Eye length ratio': 0.195812095731125, 'Eye distance ratio': 0.28499076198617446, 'Nose ratio': 0.14639434057072298, 'Lip size ratio': 3.073075120148041, 'Lip length ratio': 0.4430722107873554, 'Eye-brow length ratio': 0.38129479839675773, 'Aggressive ratio left': 0.9552762378573929, 'Jaw line ratio': 0.66930044795131, 'Jaw horizontal length ratio': 0.29204457329502537, 'Nose tip to lips distance': 50.20492535598474, 'Lower lips to chin distance': 67.50599999999997, 'Nose tip to chin': 150.98638804872442}"
m-012-01.pts,"{'Eye length ratio': 0.21271121499617537, 'Eye distance ratio': 0.26064795110385636, 'Nose ratio': 0.1255895394845597, 'Lip size ratio': 3.2354129982838113, 'Lip length ratio': 0.4274681073791516, 'Eye-brow length ratio': 0.34256362865288253, 'Aggressive ratio left': 0.989371855100766, 'Jaw line ratio': 0.6443429806492585, 'Jaw horizontal length ratio': 0.3281305617854487, 'Nose tip to lips distance': 50.313328025484445, 'Lower lips to chin distance': 72.08748608461806, 'Nose tip to chin': 151.42495212150473}"
m-012-02.pts,"{'Eye length ratio': 0.20809228280113262, 'Eye distance ratio': 0.26648158668864347, 'Nose ratio': 0.14684737939922096, 'Lip size ratio': 2.481500778248677, 'Lip length ratio': 0.5366270529175826, 'Eye-brow length ratio': 0.321349324842615, 'Aggressive ratio left': 0.9334319431629513, 'Jaw line ratio': 0.6857279416887339, 'Jaw horizontal length ratio': 0.2940276337234259, 'Nose tip to lips distance': 37.96843641763512, 'Lower lips to chin distance': 69.9086829800133, 'Nose tip to chin': 159.0767453935364}"
m-012-03.pts,"{'Eye length ratio': 0.23042270228979028, 'Eye distance ratio': 0.2657792437484047, 'Nose ratio': 0.15033884618032742, 'Lip size ratio': 2.983499816210893, 'Lip length ratio': 0.44891813876380077, 'Eye-brow length ratio': 0.3723684467443684, 'Aggressive ratio left': 1.0326620299348657, 'Jaw line ratio': 0.6478372756006474, 'Jaw horizontal length ratio': 0.2917279475743508, 'Nose tip to lips distance': 52.07611187483184, 'Lower lips to chin distance': 61.172471978823936, 'Nose tip to chin': 144.58979861663826}"
m-012-05.pts,"{'Eye length ratio': 0.21918871611206836, 'Eye distance ratio': 0.27305417320184655, 'Nose ratio': 0.13783391811380363, 'Lip size ratio': 2.4032146532670584, 'Lip length ratio': 0.4013266781740544, 'Eye-brow length ratio': 0.3663063920766925, 'Aggressive ratio left': 0.9732337841837209, 'Jaw line ratio': 0.6450547764817374, 'Jaw horizontal length ratio': 0.2880649524152642, 'Nose tip to lips distance': 53.80289316570252, 'Lower lips to chin distance': 62.88599999999997, 'Nose tip to chin': 153.1248520815612}"
m-013-01.pts,"{'Eye length ratio': 0.21711312887534745, 'Eye distance ratio': 0.25636695828701567, 'Nose ratio': 0.1674807069833678, 'Lip size ratio': 3.964100601081189, 'Lip length ratio': 0.4112216963719459, 'Eye-brow length ratio': 0.38512200259003765, 'Aggressive ratio left': 0.9637643281777888, 'Jaw line ratio': 0.6780111064257321, 'Jaw horizontal length ratio': 0.33275975142108233, 'Nose tip to lips distance': 45.309455492203824, 'Lower lips to chin distance': 72.72510116871612, 'Nose tip to chin': 140.69412969274873}"
m-013-02.pts,"{'Eye length ratio': 0.22437684709487052, 'Eye distance ratio': 0.26328382324012567, 'Nose ratio': 0.17079861082196537, 'Lip size ratio': 2.930670195534052, 'Lip length ratio': 0.5183517229453755, 'Eye-brow length ratio': 0.3451553681827724, 'Aggressive ratio left': 0.9157649393038761, 'Jaw line ratio': 0.6904487193087229, 'Jaw horizontal length ratio': 0.28498514208319825, 'Nose tip to lips distance': 31.04283730589072, 'Lower lips to chin distance': 64.6117460683427, 'Nose tip to chin': 135.65662691147824}"
m-013-03.pts,"{'Eye length ratio': 0.2560525713406962, 'Eye distance ratio': 0.24952755154337902, 'Nose ratio': 0.1658384601424168, 'Lip size ratio': 2.9417323035714547, 'Lip length ratio': 0.40668879980390177, 'Eye-brow length ratio': 0.4129288258080922, 'Aggressive ratio left': 0.9529287972665494, 'Jaw line ratio': 0.655153042740953, 'Jaw horizontal length ratio': 0.24586774756578111, 'Nose tip to lips distance': 40.49405057536233, 'Lower lips to chin distance': 52.37935113191077, 'Nose tip to chin': 122.24353422983158}"
m-013-05.pts,"{'Eye length ratio': 0.21800299711786206, 'Eye distance ratio': 0.2534802124855892, 'Nose ratio': 0.16246532251121593, 'Lip size ratio': 3.141987924696164, 'Lip length ratio': 0.4024547312020466, 'Eye-brow length ratio': 0.38265837863938057, 'Aggressive ratio left': 0.9227470614077753, 'Jaw line ratio': 0.6209172746919372, 'Jaw horizontal length ratio': 0.29033459136826145, 'Nose tip to lips distance': 39.358147136266425, 'Lower lips to chin distance': 61.974999999999966, 'Nose tip to chin': 128.55768378825124}"
